Doklad;"Datum vystavení";"Datum splatnosti";"Datum úhrady";"Spoleènost dodavatele";"IÈO dodavatele";"DIÈ dodavatele";"Ulice dodavatele";"Mìsto dodavatele";"PSÈ dodavatele";"Zemì dodavatele";Štítek;"Položky poèet";"Položky MJ";"Položky text";"Položky cena";"Položky %DPH";"Položky typ DPH";"ID èíselné øady";"ID pøedkontace";"ID èlenìní DPH";"Variabilní Symbol";"Konstantní Symbol";"Specifický Symbol";"Výpoèet DPH";Mìna;"Celkem bez DPH";"Celkem s DPH";Zaokrouhlení;"Celkem k úhradì"
N20250037;07.08.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;1725.80;21;2;269732;;0;;;;2;CZK;1426.28;1725.80;0.00;1725.80
N20250038;07.08.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;kabel;249.00;21;2;269732;;0;;;;2;CZK;205.79;249.00;0.00;249.00
N20250039;07.08.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;"do auta";2921.00;21;2;269732;;0;;;;2;CZK;2414.05;2921.00;0.00;2921.00
N20250040;08.08.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;kabel;268.21;21;2;269732;;0;;;;2;CZK;221.66;268.21;0.00;268.21
N20250041;10.08.2025;;;"Žerotín, a.s.";63495465;CZ63495465;"Za Drahou 1331";Strážnice;69662;"Èeská republika";;1;ks;benzin;1228.00;21;2;269732;;0;;;;2;CZK;1014.88;1228.00;0.00;1228.00
N20250042;13.08.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;benzin;438.40;21;2;269732;;0;;;;2;CZK;362.31;438.40;0.00;438.40
N20250043;16.08.2025;;;"Tank ONO, s.r.o.";48365289;CZ48365289;"Domažlická 674/160";Plzeò;31800;"Èeská republika";;1;ks;benzin;1419.90;21;2;269732;;0;;;;2;CZK;1173.47;1419.90;0.00;1419.90
N20250044;16.08.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;"apple hrot k pencil";595.62;21;2;269732;;0;;;;2;CZK;492.25;595.62;0.00;595.62
N20250045;20.08.2025;;;"Žerotín, a.s.";63495465;CZ63495465;"Za Drahou 1331";Strážnice;69662;"Èeská republika";;1;ks;;1351.50;21;2;269732;;0;;;;2;CZK;1116.94;1351.50;0.00;1351.50
N20250046;24.08.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;benzin;422.20;21;2;269732;;0;;;;2;CZK;348.93;422.20;0.00;422.20
N20250047;27.08.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;benzin;828.20;21;2;269732;;0;;;;2;CZK;684.46;828.20;0.00;828.20
N20250048;31.08.2025;;;"Tank ONO, s.r.o.";48365289;CZ48365289;"Domažlická 674/160";Plzeò;31800;"Èeská republika";;1;ks;;1507.60;21;2;269732;;0;;;;2;CZK;1245.95;1507.60;0.00;1507.60
N20250049;30.08.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;171.81;21;2;269732;;0;;;;2;CZK;141.99;171.81;0.00;171.81
N20250050;31.08.2025;;;"Daktela s.r.o.";27232263;CZ27232263;"Vinohradská 2828/151";Praha;13000;"Èeská republika";;1;ks;;1000.00;21;2;269732;;0;;;;1;CZK;1000.00;1210.00;0.00;1210.00
N20250051;03.09.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;359.10;21;2;269732;;0;;;;2;CZK;296.78;359.10;0.00;359.10
N20250052;09.09.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;benzin;365.70;21;2;269732;;0;;;;2;CZK;302.23;365.70;0.00;365.70
N20250053;12.09.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;1694.00;21;2;269732;;0;;;;2;CZK;1400.00;1694.00;0.00;1694.00
N20250054;15.09.2025;;;"Žerotín, a.s.";63495465;CZ63495465;"Za Drahou 1331";Strážnice;69662;"Èeská republika";;1;ks;;1567.00;21;2;269732;;0;;;;2;CZK;1295.04;1567.00;0.00;1567.00
N20250055;20.09.2025;;;"Tank ONO, s.r.o.";48365289;CZ48365289;"Domažlická 674/160";Plzeò;31800;"Èeská republika";;1;ks;;293.50;21;2;269732;;0;;;;2;CZK;242.56;293.50;0.00;293.50
